FECHA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,latitud,longitud
2015-01-10 04:10:00,Con heridos,Atropello,2,0,1,10.9491415,-74.8030706
2015-01-10 16:14:00,Solo daños,Choque,0,0,1,10.9540335,-74.79767439999999
2015-01-10 16:40:00,Solo daños,Choque,0,0,1,10.9763342,-74.8044977
2015-01-10 05:00:00,Con heridos,Choque,2,0,1,10.9315498,-74.8094088
2015-01-10 08:00:00,Solo daños,Choque,0,0,1,10.9435326,-74.78372610000001
2015-01-10 08:30:00,Con heridos,Atropello,1,0,1,10.9713852,-74.8029318
2015-01-10 09:10:00,Solo daños,Choque,0,0,1,11.0007488,-74.819319
2015-01-10 10:50:00,Solo daños,Choque,0,0,1,10.9816451,-74.7944106
2015-01-10 12:10:00,Solo daños,Choque,0,0,1,10.9230751,-74.8075115
2015-01-10 12:30:00,Solo daños,Choque,0,0,1,10.9680023,-74.7862361
2015-01-10 12:30:00,Solo daños,Choque,0,0,1,11.0161065,-74.7953998
2015-01-11 14:00:00,Solo daños,Choque,0,0,1,11.0090711,-74.7816071
2015-01-11 14:30:00,Solo daños,Choque,0,0,1,10.948341,-74.7734581
2015-01-11 14:30:00,Solo daños,Choque,0,0,1,10.9802396,-74.771596
2015-01-11 16:00:00,Solo daños,Choque,0,0,1,10.980664,-74.8075619
2015-01-11 07:30:00,Solo daños,Choque,0,0,1,10.9936188,-74.783131
2015-01-11 09:00:00,Solo daños,Choque,0,0,1,10.9892645,-74.7826996
2015-01-11 22:00:00,Solo daños,Choque,0,0,1,11.0119752,-74.83202589999999
2015-01-11 22:15:00,Con heridos,Choque,2,0,1,10.9816451,-74.7944106
2015-01-11 11:00:00,Solo daños,Choque,0,0,1,10.9716268,-74.8371453
2015-01-11 12:00:00,Solo daños,Choque,0,0,1,10.9868854,-74.81999139999999
2015-01-12 14:00:00,Con heridos,Choque,1,0,1,10.9523327,-74.8129243
2015-01-12 15:30:00,Con heridos,Choque,4,0,1,10.9266176,-74.805047
2015-01-12 04:00:00,Solo daños,Choque,0,0,1,10.9821229,-74.7955202
2015-01-12 16:10:00,Solo daños,Choque,0,0,1,10.933914,-74.8059172
2015-01-12 17:00:00,Solo daños,Choque,0,0,1,10.9889231,-74.8076945
2015-01-12 17:40:00,Solo daños,Choque,0,0,1,10.9962078,-74.8186489
2015-01-12 20:00:00,Solo daños,Choque,0,0,1,10.9612996,-74.7932724
2015-01-12 20:10:00,Solo daños,Choque,0,0,1,10.946748,-74.7998703
2015-01-12 23:30:00,Solo daños,Choque,0,0,1,10.9232564,-74.8014046
2015-01-12 12:00:00,Solo daños,Choque,0,0,1,11.0112207,-74.8242023
2015-01-13 14:30:00,Solo daños,Choque,0,0,1,11.0161065,-74.7953998
2015-01-13 05:00:00,Solo daños,Choque,0,0,1,10.9761817,-74.8131111
2015-01-13 07:00:00,Solo daños,Choque,0,0,1,10.9267291,-74.8615251
2015-01-13 07:00:00,Solo daños,Choque,0,0,1,11.0187009,-74.817903
2015-01-13 19:00:00,Solo daños,Choque,0,0,1,10.9661166,-74.7822709
2015-01-13 07:30:00,Solo daños,Choque,0,0,1,10.9799077,-74.8359658
2015-01-13 19:35:00,Solo daños,Choque,0,0,1,10.9482049,-74.7852192
2015-01-13 07:40:00,Con heridos,Caida Ocupante,1,0,1,10.9752956,-74.83410479999999
2015-01-13 08:30:00,Solo daños,Choque,0,0,1,11.0391464,-74.8241093
2015-01-13 09:00:00,Solo daños,Choque,0,0,1,10.9576158,-74.8177039
2015-01-13 10:40:00,Con heridos,Caida Ocupante,1,0,1,10.9966297,-74.8066328
2015-01-13 11:20:00,Con heridos,Atropello,1,0,1,11.0006369,-74.8167568
2015-01-14 17:44:00,Solo daños,Choque,0,0,1,10.9835241,-74.7765691
2015-01-14 06:30:00,Solo daños,Choque,0,0,1,11.0012798,-74.80468479999999
